id,provinsi,kabupaten_kota,nama_layanan,jenis_layanan,kategori,specialization,alamat,telepon,website,latitude,longitude,telemedicine,biaya_mulai,insurance_supported,rating,jam_buka,jam_tutup,hari_operasional,verified,photo_url,source,updated_at
20,Nusa Tenggara Timur,Bandung,RSUD Bandung,Rumah Sakit,Psikiatri,Kecemasan,"Jl. Kesehatan No.181, Bandung",+628360915743,,-7.190229822833192,102.96517381383025,False,500000,Swasta,4.6,7:00,19:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
21,Papua Barat,Bandung,RSUD Bandung,Rumah Sakit,Psikiatri,Kesehatan Mental Remaja,"Jl. Kesehatan No.65, Bandung",+628679454531,,5.284795700007658,96.45967189282207,True,350000,BPJS,3.3,7:00,21:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
22,Kalimantan Tengah,Bandar Lampung,RS Jiwa Bandar Lampung,Rumah Sakit Jiwa,Psikiatri,Burnout Kerja,"Jl. Kesehatan No.91, Bandar Lampung",+628394733638,,-0.5083227517403639,105.76877064236835,True,100000,"Mandiri,Swasta",3.6,7:00,22:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
23,Jawa Barat,Tabanan,Pusat Konseling Universitas Tabanan,Universitas,Konseling,Gangguan Mood,"Jl. Kesehatan No.85, Tabanan",+628795405596,,-1.8459174272207939,96.22694390099306,True,150000,"Mandiri,Swasta",4.8,8:00,17:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
24,Nusa Tenggara Barat,Kediri,Klinik Psikologi Kediri,Klinik Psikologi,Psikolog,Trauma,"Jl. Kesehatan No.2, Kediri",+628925643286,,1.9279953872506237,140.18830674131817,True,150000,BPJS,4.1,10:00,20:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
25,Jawa Timur,Banjarbaru,Klinik Psikologi Banjarbaru,Klinik Psikologi,Psikolog,Trauma,"Jl. Kesehatan No.109, Banjarbaru",+628013232294,,-10.065910244096939,124.82444878756503,True,100000,Swasta,3.6,7:00,22:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
26,Nusa Tenggara Barat,Jakarta Utara,RSUD Jakarta Utara,Rumah Sakit,Psikiatri,Depresi,"Jl. Kesehatan No.224, Jakarta Utara",+628031029870,,-7.463106864278631,135.20351265555342,False,250000,Swasta,3.0,8:00,21:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
27,Sumatera Barat,Serang,Puskesmas Serang,Puskesmas,Konseling,Gangguan Mood,"Jl. Kesehatan No.23, Serang",+628139678256,,-8.258744303949031,114.78610615088216,True,150000,Mandiri,4.1,9:00,20:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
28,Nusa Tenggara Barat,Bitung,RSUD Bitung,Rumah Sakit,Psikiatri,Konseling Pernikahan,"Jl. Kesehatan No.135, Bitung",+628104827194,,-5.173343439881899,117.9385104287625,True,150000,Swasta,3.8,7:00,22:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
29,Riau,Sidoarjo,Puskesmas Sidoarjo,Puskesmas,Konseling,Kecemasan,"Jl. Kesehatan No.54, Sidoarjo",+628135376812,,-9.62527489555516,130.7600461031284,True,50000,"BPJS,Swasta",4.9,7:00,22:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
30,Kalimantan Selatan,Jakarta Utara,Pusat Konseling Universitas Jakarta Utara,Universitas,Konseling,Burnout Kerja,"Jl. Kesehatan No.166, Jakarta Utara",+628401598586,,4.639680571692118,127.37993155762479,False,500000,BPJS,3.8,8:00,16:00,Senin-Jumat,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
31,Sulawesi Tengah,Sleman,Klinik Psikologi Sleman,Klinik Psikologi,Psikolog,ADHD,"Jl. Kesehatan No.49, Sleman",+628178811456,,2.0721270737210915,138.89433780362157,False,350000,Mandiri,3.2,8:00,18:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
32,Jawa Tengah,Banjarbaru,Puskesmas Banjarbaru,Puskesmas,Konseling,Trauma,"Jl. Kesehatan No.161, Banjarbaru",+628730608019,,2.3730159300286022,106.1652294061377,False,50000,BPJS,4.8,10:00,18:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
33,Bali,Bima,Puskesmas Bima,Puskesmas,Konseling,Gangguan Tidur,"Jl. Kesehatan No.37, Bima",+628860086929,,-8.133419478014943,139.76017030450794,False,250000,"BPJS,Swasta",4.5,10:00,18:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
34,Bali,Denpasar,RS Jiwa Denpasar,Rumah Sakit Jiwa,Psikiatri,Kesehatan Mental Remaja,"Jl. Kesehatan No.71, Denpasar",+628801219033,,-5.574170013079119,95.70086359568424,False,500000,Swasta,3.5,9:00,16:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
35,Kalimantan Timur,Cilegon,Pusat Konseling Universitas Cilegon,Universitas,Konseling,Terapi Keluarga,"Jl. Kesehatan No.33, Cilegon",+628517446950,,0.9691858196002556,133.54767043487027,True,0,"BPJS,Swasta",5.0,10:00,18:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
36,Kalimantan Tengah,Malang,RSUD Malang,Rumah Sakit,Psikiatri,Terapi Keluarga,"Jl. Kesehatan No.194, Malang",+628000824951,,-4.352528521130246,129.94138676940895,True,350000,"Mandiri,Swasta",4.8,9:00,20:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
37,DI Yogyakarta,Bukittinggi,Klinik Psikologi Bukittinggi,Klinik Psikologi,Psikolog,ADHD,"Jl. Kesehatan No.6, Bukittinggi",+628810134411,,2.043295536236741,116.15323945696757,True,500000,"BPJS,Swasta",4.6,10:00,21:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
38,Riau,Palu,Klinik Psikologi Palu,Klinik Psikologi,Psikolog,Konseling Pernikahan,"Jl. Kesehatan No.86, Palu",+628031921187,,3.443862351371507,104.22797324184047,False,0,"BPJS,Swasta",3.7,8:00,20:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
39,Kalimantan Utara,Jakarta Barat,Puskesmas Jakarta Barat,Puskesmas,Konseling,Kesehatan Mental Remaja,"Jl. Kesehatan No.237, Jakarta Barat",+628909898811,,3.4729536070641664,105.08189366872372,False,100000,"Mandiri,Swasta",3.9,10:00,17:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
40,Jawa Barat,Cilegon,RS Jiwa Cilegon,Rumah Sakit Jiwa,Psikiatri,Gangguan Tidur,"Jl. Kesehatan No.228, Cilegon",+628710048765,,-1.3448628924901396,130.9747352721407,False,250000,Swasta,4.3,10:00,17:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
41,Sumatera Utara,Serang,Klinik Psikologi Serang,Klinik Psikologi,Psikolog,Konseling Pernikahan,"Jl. Kesehatan No.231, Serang",+628462782347,,-4.10648191713082,106.18314672820827,True,250000,Mandiri,4.4,9:00,21:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
42,Gorontalo,Ambon,Pusat Konseling Universitas Ambon,Universitas,Konseling,Kesehatan Mental Remaja,"Jl. Kesehatan No.88, Ambon",+628505053966,,-4.789054696727993,133.51498518817783,False,0,BPJS,3.5,8:00,19:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
43,Jawa Barat,Bitung,RSUD Bitung,Rumah Sakit,Psikiatri,Gangguan Mood,"Jl. Kesehatan No.109, Bitung",+628732438300,,-9.298990470583357,96.23805560393198,False,350000,BPJS,3.5,8:00,17:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
44,Kalimantan Tengah,Medan,RS Jiwa Medan,Rumah Sakit Jiwa,Psikiatri,Gangguan Tidur,"Jl. Kesehatan No.205, Medan",+628636327502,,-1.0129705207524893,128.50144434890092,True,0,"Mandiri,Swasta",4.8,10:00,22:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
45,Sulawesi Selatan,Solo,Pusat Konseling Universitas Solo,Universitas,Konseling,Konseling Pernikahan,"Jl. Kesehatan No.95, Solo",+628186577739,,4.682308646274516,120.22662877596738,True,50000,"BPJS,Swasta",4.9,8:00,19:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
46,Sulawesi Tengah,Ambon,RS Jiwa Ambon,Rumah Sakit Jiwa,Psikiatri,Terapi Keluarga,"Jl. Kesehatan No.242, Ambon",+628343306899,,-7.666925149924786,132.93717315178992,False,150000,"Mandiri,Swasta",3.3,8:00,17:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
47,Sulawesi Utara,Denpasar,Puskesmas Denpasar,Puskesmas,Konseling,Trauma,"Jl. Kesehatan No.77, Denpasar",+628221648460,,-8.862290321112908,109.83089734203709,True,350000,BPJS,4.5,7:00,22:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
48,Maluku,Tanjung Pinang,Puskesmas Tanjung Pinang,Puskesmas,Konseling,Kesehatan Mental Remaja,"Jl. Kesehatan No.1, Tanjung Pinang",+628234826195,,-10.189925290046475,132.81481364796065,False,0,Mandiri,3.5,7:00,19:00,Senin-Jumat,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
49,Kalimantan Tengah,Sukabumi,Pusat Konseling Universitas Sukabumi,Universitas,Konseling,Kesehatan Mental Remaja,"Jl. Kesehatan No.211, Sukabumi",+628479645686,,-0.009281870667964043,132.97670432075253,False,350000,"BPJS,Swasta",4.1,9:00,19:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
50,Sulawesi Tengah,Bima,Pusat Konseling Universitas Bima,Universitas,Konseling,Kesehatan Mental Remaja,"Jl. Kesehatan No.209, Bima",+628893242370,,-5.689292461568794,105.32695066037272,False,250000,BPJS,4.5,7:00,21:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
51,DKI Jakarta,Tangerang,Klinik Psikologi Tangerang,Klinik Psikologi,Psikolog,ADHD,"Jl. Kesehatan No.231, Tangerang",+628240193045,,-3.0013855438359105,128.99773731044613,True,100000,"BPJS,Swasta",4.9,10:00,22:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
52,Jawa Tengah,Kediri,RSUD Kediri,Rumah Sakit,Psikiatri,Gangguan Mood,"Jl. Kesehatan No.218, Kediri",+628166735591,,2.2037958065308967,98.61038182491077,True,0,"BPJS,Swasta",4.1,8:00,19:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
53,Sulawesi Tenggara,Kupang,Klinik Psikologi Kupang,Klinik Psikologi,Psikolog,Terapi Keluarga,"Jl. Kesehatan No.31, Kupang",+628571423414,,-0.5985486115976872,112.62015352008207,False,50000,"BPJS,Swasta",3.8,9:00,18:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
54,Sumatera Barat,Tabanan,RSUD Tabanan,Rumah Sakit,Psikiatri,Kecemasan,"Jl. Kesehatan No.225, Tabanan",+628137453077,,-10.351936138174153,112.37537198582866,False,250000,"Mandiri,Swasta",4.1,10:00,16:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
55,Papua,Tasikmalaya,RS Jiwa Tasikmalaya,Rumah Sakit Jiwa,Psikiatri,Trauma,"Jl. Kesehatan No.110, Tasikmalaya",+628867645716,,0.6044321108195536,118.31662629095209,False,350000,Mandiri,4.7,10:00,16:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
56,Nusa Tenggara Timur,Tangerang Selatan,RSUD Tangerang Selatan,Rumah Sakit,Psikiatri,Konseling Pernikahan,"Jl. Kesehatan No.238, Tangerang Selatan",+628255273363,,2.7945251806899556,132.16232397849126,False,250000,"BPJS,Swasta",4.7,8:00,16:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
57,Papua,Binjai,Pusat Konseling Universitas Binjai,Universitas,Konseling,Konseling Pernikahan,"Jl. Kesehatan No.21, Binjai",+628086337806,,-0.6565967074525236,140.49766845049152,True,0,Mandiri,3.4,10:00,17:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
58,Sulawesi Tenggara,Makassar,Puskesmas Makassar,Puskesmas,Konseling,Terapi Keluarga,"Jl. Kesehatan No.22, Makassar",+628558339721,,1.6205177733526615,117.36497453714261,False,150000,Mandiri,3.5,9:00,20:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
59,Banten,Bandar Lampung,RSUD Bandar Lampung,Rumah Sakit,Psikiatri,Terapi Keluarga,"Jl. Kesehatan No.250, Bandar Lampung",+628597430861,,-9.231371770225167,113.15267915903493,False,100000,Mandiri,3.7,10:00,17:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
60,Sulawesi Selatan,Bima,Pusat Konseling Universitas Bima,Universitas,Konseling,Gangguan Mood,"Jl. Kesehatan No.47, Bima",+628536751117,,3.937073388413891,95.8569937715265,True,150000,Mandiri,4.1,10:00,18:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
61,Riau,Manado,Klinik Psikologi Manado,Klinik Psikologi,Psikolog,Burnout Kerja,"Jl. Kesehatan No.61, Manado",+628141306982,,-7.0633868072561246,105.03828174418143,False,100000,Mandiri,4.6,8:00,16:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
62,Nusa Tenggara Timur,Bandar Lampung,Pusat Konseling Universitas Bandar Lampung,Universitas,Konseling,Trauma,"Jl. Kesehatan No.222, Bandar Lampung",+628887163762,,-6.8484561523546645,133.10632916350528,False,500000,Mandiri,4.0,9:00,22:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
63,Gorontalo,Ambon,Puskesmas Ambon,Puskesmas,Konseling,Burnout Kerja,"Jl. Kesehatan No.31, Ambon",+628379905725,,-0.03688715596763892,107.06991113319212,False,150000,Swasta,4.8,10:00,22:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
64,Jawa Barat,Bandung,Puskesmas Bandung,Puskesmas,Konseling,Burnout Kerja,"Jl. Kesehatan No.58, Bandung",+628614324076,,4.959238652972255,121.74150672183922,True,500000,"BPJS,Swasta",3.1,7:00,20:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
65,Gorontalo,Tegal,RS Jiwa Tegal,Rumah Sakit Jiwa,Psikiatri,Trauma,"Jl. Kesehatan No.32, Tegal",+628977207622,,-7.115207582947209,124.68538731776346,False,50000,Mandiri,3.9,10:00,22:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
66,Jawa Tengah,Garut,RSUD Garut,Rumah Sakit,Psikiatri,Konseling Pernikahan,"Jl. Kesehatan No.75, Garut",+628268235710,,-4.39213773767667,100.59932401814834,False,150000,Mandiri,3.7,8:00,16:00,Senin-Jumat,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
67,DI Yogyakarta,Malang,Klinik Psikologi Malang,Klinik Psikologi,Psikolog,Trauma,"Jl. Kesehatan No.147, Malang",+628877248519,,3.884689284610941,136.8615548382172,False,50000,"Mandiri,Swasta",4.8,8:00,17:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
68,Sulawesi Utara,Palembang,RSUD Palembang,Rumah Sakit,Psikiatri,Burnout Kerja,"Jl. Kesehatan No.73, Palembang",+628692532828,,-1.0608856460531957,127.41888552549517,True,500000,"BPJS,Swasta",4.4,8:00,19:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
69,Kepulauan Riau,Sukabumi,Klinik Psikologi Sukabumi,Klinik Psikologi,Psikolog,Gangguan Tidur,"Jl. Kesehatan No.236, Sukabumi",+628274236841,,-4.0498060935226725,105.92204823397246,False,50000,"Mandiri,Swasta",3.3,8:00,19:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
70,Riau,Balikpapan,Puskesmas Balikpapan,Puskesmas,Konseling,Konseling Pernikahan,"Jl. Kesehatan No.213, Balikpapan",+628738579129,,-4.329809181171797,135.4996608110299,True,350000,BPJS,3.5,7:00,16:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
71,Kalimantan Tengah,Sukabumi,RS Jiwa Sukabumi,Rumah Sakit Jiwa,Psikiatri,Kesehatan Mental Remaja,"Jl. Kesehatan No.236, Sukabumi",+628762595750,,-8.79902980304419,119.10788819566972,True,0,BPJS,4.7,7:00,16:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
72,Sulawesi Tenggara,Kendari,Pusat Konseling Universitas Kendari,Universitas,Konseling,Terapi Keluarga,"Jl. Kesehatan No.224, Kendari",+628528208186,,-2.6002960572884355,96.14419388000223,False,350000,"BPJS,Swasta",4.7,8:00,17:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
73,Banten,Palu,Pusat Konseling Universitas Palu,Universitas,Konseling,Kecemasan,"Jl. Kesehatan No.9, Palu",+628851168835,,1.9730859559224854,122.42183613184713,False,50000,BPJS,4.9,9:00,21:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
74,Nusa Tenggara Timur,Singkawang,RS Jiwa Singkawang,Rumah Sakit Jiwa,Psikiatri,Trauma,"Jl. Kesehatan No.245, Singkawang",+628299752733,,-1.4365120909459232,99.55640886584216,True,50000,BPJS,5.0,9:00,21:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
75,Gorontalo,Kendari,RSUD Kendari,Rumah Sakit,Psikiatri,Gangguan Tidur,"Jl. Kesehatan No.166, Kendari",+628942817432,,2.220336939961454,109.32654457670948,False,350000,Swasta,3.8,8:00,17:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
76,Jawa Tengah,Jayapura,Pusat Konseling Universitas Jayapura,Universitas,Konseling,Gangguan Mood,"Jl. Kesehatan No.143, Jayapura",+628548156089,,-4.426381456129363,119.9806125578626,True,100000,Mandiri,3.5,7:00,20:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
77,DI Yogyakarta,Denpasar,RSUD Denpasar,Rumah Sakit,Psikiatri,Terapi Keluarga,"Jl. Kesehatan No.153, Denpasar",+628996846386,,-5.559300226449919,95.55735674148517,False,0,"Mandiri,Swasta",4.5,8:00,22:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
78,Kalimantan Utara,Padang,Pusat Konseling Universitas Padang,Universitas,Konseling,Burnout Kerja,"Jl. Kesehatan No.76, Padang",+628092417844,,0.5827566459856719,139.86121199591318,True,500000,Swasta,4.9,9:00,21:00,Senin-Minggu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
79,Kalimantan Selatan,Makassar,RS Jiwa Makassar,Rumah Sakit Jiwa,Psikiatri,Depresi,"Jl. Kesehatan No.117, Makassar",+628212103983,,-10.175314817554659,120.21229329475128,False,500000,Swasta,3.8,9:00,22:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
80,Bali,Yogyakarta,RSUD Yogyakarta,Rumah Sakit,Psikiatri,Gangguan Tidur,"Jl. Kesehatan No.71, Yogyakarta",+628396918470,,4.993490109477239,100.64100922619417,False,350000,"Mandiri,Swasta",3.9,10:00,20:00,Senin-Jumat,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
81,Sumatera Barat,Tangerang,RSUD Tangerang,Rumah Sakit,Psikiatri,Konseling Pernikahan,"Jl. Kesehatan No.72, Tangerang",+628687192005,,-2.387004166495446,122.42996074206442,True,50000,BPJS,3.7,7:00,17:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
82,Bali,Kendari,Pusat Konseling Universitas Kendari,Universitas,Konseling,Trauma,"Jl. Kesehatan No.213, Kendari",+628092095242,,2.9782157369409763,117.02614144935193,False,500000,BPJS,4.5,8:00,21:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
83,Lampung,Gresik,RS Jiwa Gresik,Rumah Sakit Jiwa,Psikiatri,Gangguan Tidur,"Jl. Kesehatan No.130, Gresik",+628106601847,,-3.3161594739394467,132.52469419273243,False,0,"BPJS,Swasta",4.7,7:00,21:00,Senin-Minggu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
84,Sulawesi Tenggara,Palu,RS Jiwa Palu,Rumah Sakit Jiwa,Psikiatri,Burnout Kerja,"Jl. Kesehatan No.204, Palu",+628059420545,,-9.558108424590841,125.24012458463585,False,100000,Swasta,3.5,9:00,20:00,Senin-Sabtu,False,,national_mental_health_directory,2026-03-12T07:45:15.311448
85,Sulawesi Tenggara,Sorong,Pusat Konseling Universitas Sorong,Universitas,Konseling,Gangguan Tidur,"Jl. Kesehatan No.11, Sorong",+628912242008,,2.9329767033013905,129.7522549051725,False,250000,Swasta,3.5,10:00,19:00,Senin-Sabtu,True,,national_mental_health_directory,2026-03-12T07:45:15.311448
